Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00225297070027259,0.0021561284245786,0.0235031309630918,0,0,0,4.42503101633294,0.0160955362042838,-4.37751798666585E-07,-3.76131129209663E-05,0.00951260621260376,-1.23241554900005E-05,0.0235407659569457,0,0,0,0,0,0,package://sentry9/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://sentry9/meshes/base_link.STL,,底盘总装_v4.0-2/舵轮底盘框架-1/舵轮底盘保险杠-2;底盘总装_v4.0-2/舵轮底盘框架-1/舵轮底盘保险杠夹板-4;底盘总装_v4.0-2/轮系V2-6/舵轮航向总板-1;底盘总装_v4.0-2/舵轮底盘框架-1/电机侧加强板-6;底盘总装_v4.0-2/舵轮底盘框架-1/舵轮底盘上下铝管固定板-1;底盘总装_v4.0-2/舵轮底盘框架-1/舵轮底盘铝管-上-短-9;底盘总装_v4.0-2/舵轮底盘框架-1/舵轮底盘铝管-上-长-1;底盘总装_v4.0-2/舵轮底盘框架-1/舵轮底盘保险杠-1;底盘总装_v4.0-2/舵轮底盘框架-1/舵轮底盘保险杠夹板-21;底盘总装_v4.0-2/舵轮底盘框架-1/小装甲板模块-8/装甲板支撑架（12-1;底盘总装_v4.0-2/舵轮底盘框架-1/小装甲板模块-8/装甲板支撑架（12-2;底盘总装_v4.0-2/舵轮底盘框架-1/钣金保护罩后-1;底盘总装_v4.0-2/舵轮底盘框架-1/舵轮底盘保险杠-7;底盘总装_v4.0-2/舵轮底盘框架-1/舵轮底盘电池侧腹板-1;底盘总装_v4.0-2/舵轮底盘框架-1/舵轮底盘保险杠夹板-24;底盘总装_v4.0-2/舵轮底盘框架-1/舵轮底盘铝管-上-长-2;底盘总装_v4.0-2/轮系V2-1/舵轮航向总板-1;底盘总装_v4.0-2/舵轮底盘框架-1/舵轮底盘保险杠-8;底盘总装_v4.0-2/舵轮底盘框架-1/舵轮底盘上下铝管固定板-4;底盘总装_v4.0-2/YAW轴装配-4/YAW轴电机固定板_下-1;底盘总装_v4.0-2/舵轮底盘框架-1/钣金保护罩电机侧 (2)-1;底盘总装_v4.0-2/舵轮底盘框架-1/钣金保护罩电机侧-1;底盘总装_v4.0-2/YAW轴装配-4/YAW轴_上云台支撑板-1;底盘总装_v4.0-2/舵轮底盘框架-1/舵轮底盘保险杠夹板-13;底盘总装_v4.0-2/舵轮底盘框架-1/舵轮底盘铝管-上-短-14;底盘总装_v4.0-2/舵轮底盘框架-1/电机侧加强板-5;底盘总装_v4.0-2/舵轮底盘框架-1/小装甲板模块-13/小装甲板（12-1;底盘总装_v4.0-2/舵轮底盘框架-1/舵轮底盘保险杠-5;底盘总装_v4.0-2/舵轮底盘框架-1/舵轮底盘保险杠夹板-12;底盘总装_v4.0-2/轮系V2-8/舵轮航向总板-1;底盘总装_v4.0-2/舵轮底盘框架-1/舵轮底盘保险杠-6;底盘总装_v4.0-2/舵轮底盘框架-1/舵轮底盘保险杠夹板-27;底盘总装_v4.0-2/舵轮底盘框架-1/舵轮底盘上下铝管固定板-3;底盘总装_v4.0-2/舵轮底盘框架-1/舵轮底盘铝管-上-短-13;底盘总装_v4.0-2/轮系V2-5/舵轮航向总板-1;底盘总装_v4.0-2/舵轮底盘框架-1/舵轮底盘保险杠-3;底盘总装_v4.0-2/舵轮底盘框架-1/舵轮底盘保险杠夹板-22;底盘总装_v4.0-2/舵轮底盘框架-1/钣金保护罩-4;底盘总装_v4.0-2/舵轮底盘框架-1/小装甲板模块-1/小装甲板（12-1;底盘总装_v4.0-2/舵轮底盘框架-1/舵轮底盘上下铝管固定板-2;底盘总装_v4.0-2/舵轮底盘框架-1/舵轮底盘铝管-上-短-12;底盘总装_v4.0-2/舵轮底盘框架-1/舵轮底盘铝管-下-3;底盘总装_v4.0-2/舵轮底盘框架-1/小装甲板模块-11/小装甲板（12-1;底盘总装_v4.0-2/舵轮底盘框架-1/舵轮底盘保险杠夹板-5;底盘总装_v4.0-2/舵轮底盘框架-1/舵轮底盘保险杠-4;底盘总装_v4.0-2/舵轮底盘框架-1/活动盖板-1;底盘总装_v4.0-2/舵轮底盘框架-1/电机侧加强板-8;底盘总装_v4.0-2/舵轮底盘框架-1/超级电容侧腹板-1;底盘总装_v4.0-2/舵轮底盘框架-1/舵轮底盘铝管-下-2;底盘总装_v4.0-2/舵轮底盘框架-1/电机侧加强板-7;底盘总装_v4.0-2/舵轮底盘框架-1/舵轮底盘腹板_2mm-3;底盘总装_v4.0-2/舵轮底盘框架-1/舵轮底盘保险杠固定件-2;底盘总装_v4.0-2/舵轮底盘框架-1/舵轮底盘保险杠夹板-23;底盘总装_v4.0-2/舵轮底盘框架-1/舵轮底盘保险杠夹板-26;底盘总装_v4.0-2/舵轮底盘框架-1/舵轮底盘保险杠夹板-8;底盘总装_v4.0-2/舵轮底盘框架-1/舵轮底盘保险杠夹板-1;底盘总装_v4.0-2/舵轮底盘框架-1/舵轮底盘保险杠固定件-1;底盘总装_v4.0-2/舵轮底盘框架-1/舵轮底盘保险杠夹板-18;底盘总装_v4.0-2/YAW轴装配-4/RU85.stp-1;底盘总装_v4.0-2/YAW轴装配-4/5mmx8x105xd5.2垫片-1;底盘总装_v4.0-2/舵轮底盘框架-1/舵轮底盘保险杠夹板-9;底盘总装_v4.0-2/舵轮底盘框架-1/舵轮底盘保险杠固定件-3;底盘总装_v4.0-2/舵轮底盘框架-1/舵轮底盘保险杠夹板-16;底盘总装_v4.0-2/舵轮底盘框架-1/舵轮底盘腹板2-1;底盘总装_v4.0-2/舵轮底盘框架-1/RoboMaster 场地交互模块 FI02 2020 .step-1;底盘总装_v4.0-2/舵轮底盘框架-1/舵轮底盘保险杠固定件-4;底盘总装_v4.0-2/舵轮底盘框架-1/舵轮底盘保险杠夹板-25;底盘总装_v4.0-2/轮系V2-1/航向轴承外圈底座-1;底盘总装_v4.0-2/轮系V2-6/航向轴承外圈底座-1;底盘总装_v4.0-2/轮系V2-8/航向轴承外圈底座-1;底盘总装_v4.0-2/轮系V2-5/航向轴承外圈底座-1,base坐标,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Heading_Left_Front_Link,0.000327088899147732,0.00203413083857223,-0.0346740035294639,0,0,0,0.70269597713817,0.000344054568245934,1.44356624989042E-05,4.30992500251002E-07,0.000434102546909307,3.89337584122031E-07,0.000452885587921925,0,0,0,0,0,0,package://sentry9/meshes/Heading_Left_Front_Link.STL,0.203921568627451,0.203921568627451,0.203921568627451,1,0,0,0,0,0,0,package://sentry9/meshes/Heading_Left_Front_Link.STL,,底盘总装_v4.0-2/轮系V2-1/RoboMaster GM6020 直流无刷电机-1;底盘总装_v4.0-2/轮系V2-1/航向定子固定板-1;底盘总装_v4.0-2/轮系V2-1/航向轴承内圈底座-2;底盘总装_v4.0-2/轮系V2-1/航向轮系连接板-1;底盘总装_v4.0-2/轮系V2-1/角马16x20-5;底盘总装_v4.0-2/轮系V2-1/角马16x20-3;底盘总装_v4.0-2/轮系V2-1/角马16x20-4;底盘总装_v4.0-2/轮系V2-1/角马16x20-1;底盘总装_v4.0-2/轮系V2-1/驱动轮固定件-1;底盘总装_v4.0-2/轮系V2-1/驱动轮固定件-2;底盘总装_v4.0-2/轮系V2-1/铜柱M4X50-2;底盘总装_v4.0-2/轮系V2-1/铜柱M4X50-1;底盘总装_v4.0-2/轮系V2-1/3508安装件-1;底盘总装_v4.0-2/轮系V2-1/M3508直流无刷减速电机-1;底盘总装_v4.0-2/轮系V2-1/电机轴侧连接法兰-1;底盘总装_v4.0-2/轮系V2-1/驱动轮电机传动连接件-1;底盘总装_v4.0-2/轮系V2-1/GB／T276-94深沟球轴承61810-2Z-1;底盘总装_v4.0-2/轮系V2-1/Z21型胀紧套[Z21] 10-20-1,左前航向坐标,左前航向轴,Heading_Left_Front_Joint,continuous,0.178,0.178,0.042,0,0,0,base_link,0,0,1,,,,,,,,,,,,
Driving_Left_Front_Link,-0.00614745666963601,-0.0410307142735137,-7.63278329429795E-17,0,0,0,0.2729799494341,0.000310662933362954,4.06306257516411E-05,1.84256237395161E-19,0.000575761324526438,5.90527327364396E-19,0.000304575420247696,0,0,0,0,0,0,package://sentry9/meshes/Driving_Left_Front_Link.STL,0.498039215686275,0.498039215686275,0.498039215686275,1,0,0,0,0,0,0,package://sentry9/meshes/Driving_Left_Front_Link.STL,,底盘总装_v4.0-2/轮系V2-1/61811压紧板-1;底盘总装_v4.0-2/轮系V2-1/驱动轮-1;底盘总装_v4.0-2/轮系V2-1/驱动轮聚氨酯包胶-1,左前驱动坐标,左前驱动轴,Driving_Left_Front_Joint,continuous,0.0062232,0.041536,-0.0993,0,0,0,Heading_Left_Front_Link,-0.14817,-0.98896,0,,,,,,,,,,,,
Heading_Left_Back_link,-0.00185369374070293,0.000300550149383016,-0.0339698001150252,0,0,0,0.687442415270207,0.00043445619263871,-1.39837821126049E-05,-3.89337541412287E-07,0.000347356550512787,4.30992933776622E-07,0.000463291748719571,0,0,0,0,0,0,package://sentry9/meshes/Heading_Left_Back_link.STL,0.203921568627451,0.203921568627451,0.203921568627451,1,0,0,0,0,0,0,package://sentry9/meshes/Heading_Left_Back_link.STL,,底盘总装_v4.0-2/轮系V2-6/RoboMaster GM6020 直流无刷电机-1;底盘总装_v4.0-2/轮系V2-6/航向定子固定板-1;底盘总装_v4.0-2/轮系V2-6/航向轴承外圈底座-1;底盘总装_v4.0-2/轮系V2-6/航向轮系连接板-1;底盘总装_v4.0-2/轮系V2-6/角马16x20-3;底盘总装_v4.0-2/轮系V2-6/角马16x20-5;底盘总装_v4.0-2/轮系V2-6/角马16x20-1;底盘总装_v4.0-2/轮系V2-6/驱动轮固定件-2;底盘总装_v4.0-2/轮系V2-6/驱动轮固定件-1;底盘总装_v4.0-2/轮系V2-6/铜柱M4X50-2;底盘总装_v4.0-2/轮系V2-6/角马16x20-4;底盘总装_v4.0-2/轮系V2-6/驱动轮电机传动连接件-1;底盘总装_v4.0-2/轮系V2-6/电机轴侧连接法兰-1;底盘总装_v4.0-2/轮系V2-6/M3508直流无刷减速电机-1;底盘总装_v4.0-2/轮系V2-6/Z21型胀紧套[Z21] 10-20-1;底盘总装_v4.0-2/轮系V2-6/3508安装件-1;底盘总装_v4.0-2/轮系V2-6/铜柱M4X50-1,左后航向坐标,左后航向轴,Heading_Left_Back_Joint,continuous,-0.178,0.178,0.042,0,0,0,base_link,0,0,1,,,,,,,,,,,,
Driving_Left_back_Link,0.0410307142735137,-0.00614745666963609,0,0,0,0,0.2729799494341,0.000575761324526438,-4.06306257516413E-05,1.01045361243015E-19,0.000310662933362954,1.7382100922574E-19,0.000304575420247696,0,0,0,0,0,0,package://sentry9/meshes/Driving_Left_back_Link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://sentry9/meshes/Driving_Left_back_Link.STL,,底盘总装_v4.0-2/轮系V2-6/驱动轮聚氨酯包胶-1;底盘总装_v4.0-2/轮系V2-6/61811压紧板-1;底盘总装_v4.0-2/轮系V2-6/驱动轮-1,左后驱动坐标,左后驱动轴,Driving_Left_back_Joint,continuous,-0.041536,0.0062232,-0.0993,0,0,0,Heading_Left_Back_link,0.98896,-0.14817,0,,,,,,,,,,,,
Heading_Right_Front_link,0.00185369374329517,-0.000300550147229545,-0.0339698001040521,0,0,0,0.68744241513136,0.000434456192641999,-1.39837821131444E-05,3.89337547879156E-07,0.000347356550518619,-4.30992936777688E-07,0.000463291748721908,0,0,0,0,0,0,package://sentry9/meshes/Heading_Right_Front_link.STL,0.333333333333333,0.333333333333333,0.333333333333333,1,0,0,0,0,0,0,package://sentry9/meshes/Heading_Right_Front_link.STL,,底盘总装_v4.0-2/轮系V2-8/航向定子固定板-1;底盘总装_v4.0-2/轮系V2-8/RoboMaster GM6020 直流无刷电机-1;底盘总装_v4.0-2/轮系V2-8/航向轴承外圈底座-1;底盘总装_v4.0-2/轮系V2-8/角马16x20-5;底盘总装_v4.0-2/轮系V2-8/角马16x20-4;底盘总装_v4.0-2/轮系V2-8/航向轮系连接板-1;底盘总装_v4.0-2/轮系V2-8/角马16x20-3;底盘总装_v4.0-2/轮系V2-8/驱动轮固定件-1;底盘总装_v4.0-2/轮系V2-8/驱动轮电机传动连接件-1;底盘总装_v4.0-2/轮系V2-8/电机轴侧连接法兰-1;底盘总装_v4.0-2/轮系V2-8/M3508直流无刷减速电机-1;底盘总装_v4.0-2/轮系V2-8/Z21型胀紧套[Z21] 10-20-1;底盘总装_v4.0-2/轮系V2-8/3508安装件-1;底盘总装_v4.0-2/轮系V2-8/驱动轮固定件-2;底盘总装_v4.0-2/轮系V2-8/铜柱M4X50-1;底盘总装_v4.0-2/轮系V2-8/铜柱M4X50-2;底盘总装_v4.0-2/轮系V2-8/角马16x20-1,右前航向坐标,右前航向轴,Heading_Right_Front_Joint,continuous,0.178,-0.178,0.042,0,0,0,base_link,0,0,1,,,,,,,,,,,,
Driving_Right_Front_Link,-0.0410307142735136,0.00614745666963606,3.33066907387547E-16,0,0,0,0.2729799494341,0.000575761324526438,-4.06306257516409E-05,-2.126475495238E-18,0.000310662933362954,2.86832817431728E-19,0.000304575420247696,0,0,0,0,0,0,package://sentry9/meshes/Driving_Right_Front_Link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://sentry9/meshes/Driving_Right_Front_Link.STL,,底盘总装_v4.0-2/轮系V2-8/驱动轮聚氨酯包胶-1;底盘总装_v4.0-2/轮系V2-8/61811压紧板-1;底盘总装_v4.0-2/轮系V2-8/驱动轮-1,右前驱动坐标,右前驱动轴,Driving_Right_Front_Joint,continuous,0.041536,-0.0062232,-0.0993,0,0,0,Heading_Right_Front_link,-0.98896,0.14817,0,,,,,,,,,,,,
Heading_Right_Back_Link,-0.000280515778898149,-0.00171859968040594,-0.0337632364190828,0,0,0,0.68527429688982,0.000347240930609659,1.39806628441215E-05,-4.30009078204328E-07,0.000434319886217517,-3.89435384002671E-07,0.000463176588814637,0,0,0,0,0,0,package://sentry9/meshes/Heading_Right_Back_Link.STL,0.203921568627451,0.203921568627451,0.203921568627451,1,0,0,0,0,0,0,package://sentry9/meshes/Heading_Right_Back_Link.STL,,底盘总装_v4.0-2/轮系V2-5/RoboMaster GM6020 直流无刷电机-1;底盘总装_v4.0-2/轮系V2-5/航向定子固定板-1;底盘总装_v4.0-2/轮系V2-5/航向轴承外圈底座-1;底盘总装_v4.0-2/轮系V2-5/航向轮系连接板-1;底盘总装_v4.0-2/轮系V2-5/角马16x20-3;底盘总装_v4.0-2/轮系V2-5/角马16x20-5;底盘总装_v4.0-2/轮系V2-5/驱动轮固定件-1;底盘总装_v4.0-2/轮系V2-5/角马16x20-4;底盘总装_v4.0-2/轮系V2-5/驱动轮固定件-2;底盘总装_v4.0-2/轮系V2-5/角马16x20-1;底盘总装_v4.0-2/轮系V2-5/M3508直流无刷减速电机-1;底盘总装_v4.0-2/轮系V2-5/3508安装件-1;底盘总装_v4.0-2/轮系V2-5/铜柱M4X50-2;底盘总装_v4.0-2/轮系V2-5/电机轴侧连接法兰-1;底盘总装_v4.0-2/轮系V2-5/驱动轮电机传动连接件-1;底盘总装_v4.0-2/轮系V2-5/铜柱M4X50-1,右后航向坐标,右后航向轴,Heading_Right_Back_Joint,continuous,-0.178,-0.178,0.042,0,0,0,base_link,0,0,1,,,,,,,,,,,,
Driving_Right_Back_Link,0.00614745666963606,0.0410307142735137,2.15105711021124E-16,0,0,0,0.2729799494341,0.000310662933362954,4.0630625751641E-05,1.63280924992022E-19,0.000575761324526438,1.32618806047301E-18,0.000304575420247696,0,0,0,0,0,0,package://sentry9/meshes/Driving_Right_Back_Link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://sentry9/meshes/Driving_Right_Back_Link.STL,,底盘总装_v4.0-2/轮系V2-5/驱动轮聚氨酯包胶-1;底盘总装_v4.0-2/轮系V2-5/61811压紧板-1;底盘总装_v4.0-2/轮系V2-5/驱动轮-1,右后驱动坐标,右后驱动轴,Driving_Right_Back_Joint,continuous,-0.0062232,-0.041536,-0.0993,0,0,0,Heading_Right_Back_Link,0.14817,0.98896,0,,,,,,,,,,,,
Yaw_Link,-0.0297189846737023,0.0306277119771997,0.15517250716792,0,0,0,4.47556835051149,0.0114045976693997,-1.77303394355185E-05,0.000210898162131933,0.0100198248629364,-1.55714247876524E-06,0.0140882406694329,0,0,0,0,0,0,package://sentry9/meshes/Yaw_Link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://sentry9/meshes/Yaw_Link.STL,,底盘总装_v4.0-2/YAW轴装配-4/默孚龙电滑环12路10A-1;底盘总装_v4.0-2/YAW轴装配-4/大同步轮-1;底盘总装_v4.0-2/YAW轴装配-4/yaw轴大同步轮上板-2;底盘总装_v4.0-2/YAW轴装配-4/yaw轴大同步轮下板_-2;底盘总装_v4.0-2/YAW轴装配-4/YAW轴-轴承法兰配合盘 --1;底盘总装_v4.0-2/YAW轴装配-4/MINIPC安装板底板-1;底盘总装_v4.0-2/YAW轴装配-4/100x30x2 铝方管-3;底盘总装_v4.0-2/YAW轴装配-4/100x30x2 铝方管-2;底盘总装_v4.0-2/YAW轴装配-4/100x30x2 铝方管-4;底盘总装_v4.0-2/YAW轴装配-4/100x30x2 铝方管-1;双枪射手_v4.1-1/云台架-v4.0-1/minipc装配-1/morefine r5-5600h-1;双枪射手_v4.1-1/云台架-v4.0-1/minipc装配-1/minipc安装外侧板-1;双枪射手_v4.1-1/云台架-v4.0-1/前挡板-1;双枪射手_v4.1-1/云台架-v4.0-1/minipc装配-1/MINIPC安装板侧板-2;双枪射手_v4.1-1/云台架-v4.0-1/minipc装配-1/MINIPC安装板侧板2-1;双枪射手_v4.1-1/云台架-v4.0-1/minipc装配-1/MINIPC安装板侧板-1;双枪射手_v4.1-1/云台架-v4.0-1/minipc装配-1/MINIPC安装板侧板2-2;双枪射手_v4.1-1/云台架-v4.0-1/激光雷达安装板-1;双枪射手_v4.1-1/云台架-v4.0-1/minipc安装外侧板-1;双枪射手_v4.1-1/云台架-v4.0-1/线路收纳盒侧板1-1;双枪射手_v4.1-1/云台架-v4.0-1/线路收纳盒侧板1-3;双枪射手_v4.1-1/云台架-v4.0-1/线路收纳盒侧板1-2;双枪射手_v4.1-1/云台架-v4.0-1/minipc安装内侧板-1;双枪射手_v4.1-1/云台架-v4.0-1/线路收纳盒侧板1-4;双枪射手_v4.1-1/云台架-v4.0-1/铜柱M3-70-6;双枪射手_v4.1-1/云台架-v4.0-1/铜柱M3-70-1;双枪射手_v4.1-1/云台架-v4.0-1/铜柱M3-70-2;双枪射手_v4.1-1/云台架-v4.0-1/铜柱M3-70-4;双枪射手_v4.1-1/云台架-v4.0-1/hy5-云台架前板-1;双枪射手_v4.1-1/云台架-v4.0-1/1.5寸合页-1/1.5寸合页叶片B-1;双枪射手_v4.1-1/云台架-v4.0-1/1.5寸合页-2/1.5寸合页叶片A-1;双枪射手_v4.1-1/哨兵弹舱_v2.1-1/0101-弹筐-1/hy2-弹筐后上侧板-101-1;双枪射手_v4.1-1/哨兵弹舱_v2.1-1/0101-弹筐-1/hy3-弹筐盖板-101-1;双枪射手_v4.1-1/哨兵弹舱_v2.1-1/0101-弹筐-1/RoboMaster 裁判系统灯条模块 LI01-1;双枪射手_v4.1-1/哨兵弹舱_v2.1-1/0101-弹筐-1/UWB支架打印件-1;双枪射手_v4.1-1/哨兵弹舱_v2.1-1/0101-弹筐-1/UWB定位模块-1;双枪射手_v4.1-1/哨兵弹舱_v2.1-1/0101-弹筐-1/hy2-弹筐后侧板-101-1;双枪射手_v4.1-1/哨兵弹舱_v2.1-1/哨兵拨弹轮v3.0-1/ggh-弹舱壁下-右 镜像-1;双枪射手_v4.1-1/哨兵弹舱_v2.1-1/哨兵拨弹轮v3.0-1/弹舱底板_3mm-1;双枪射手_v4.1-1/哨兵弹舱_v2.1-1/哨兵拨弹轮v3.0 左-1/ggh-弹舱壁下-右-1;双枪射手_v4.1-1/哨兵弹舱_v2.1-1/哨兵拨弹轮v3.0 左-1/弹舱底板_3mm-1;双枪射手_v4.1-1/哨兵弹舱_v2.1-1/哨兵拨弹轮v3.0 左-1/ggh-弹舱壁上 左-1;双枪射手_v4.1-1/哨兵弹舱_v2.1-1/哨兵拨弹轮v3.0-1/ggh-弹舱壁上-1;双枪射手_v4.1-1/哨兵弹舱_v2.1-1/0101-弹筐-1/hy4-弹筐底板-102-1;双枪射手_v4.1-1/哨兵弹舱_v2.1-1/0101-弹筐-1/hy3-弹筐侧板-101-1;双枪射手_v4.1-1/哨兵弹舱_v2.1-1/0101-弹筐-1/hy3-弹筐前下侧板-101-1;双枪射手_v4.1-1/哨兵弹舱_v2.1-1/0101-弹筐-1/dy20-弹筐底部导向-101-1;双枪射手_v4.1-1/哨兵弹舱_v2.1-1/0101-弹筐-1/hy3-弹筐侧板-101-2;双枪射手_v4.1-1/哨兵弹舱_v2.1-1/0101-弹筐-1/hy2-弹筐前上侧板-101-1;双枪射手_v4.1-1/云台架-v4.0-1/HY5-云台架支架A-1;双枪射手_v4.1-1/0101-弹链装配-1/亚克力管内17.5外22-120mm（打印件代替）-1;双枪射手_v4.1-1/0101-弹链装配-1/镜向ggh-pitch外端弹链转角90度-101-3;双枪射手_v4.1-1/云台架-v4.0-1/tx80-pitch轴承外圈固定板垫高-101-1;双枪射手_v4.1-1/云台架-v4.0-1/hy2-pitch轴承外圈固定板-101-1;双枪射手_v4.1-1/哨兵弹舱_v2.1-1/哨兵拨弹轮v3.0 左-1/ggh-弹仓弹链连接件-101-1;双枪射手_v4.1-1/0101-弹链装配-1/ggh-弹仓出口弹链转角90度-101-1;双枪射手_v4.1-1/0101-弹链装配-1/镜向ggh-弹仓出口弹链转角90度-101-3;双枪射手_v4.1-1/0101-弹链装配镜像-1/亚克力管内17.5外22-120mm（打印件代替）-1;双枪射手_v4.1-1/0101-弹链装配镜像-1/镜向ggh-pitch外端弹链转角90度-101-3;双枪射手_v4.1-1/云台架-v4.0-1/HY5-云台架支架A-2;双枪射手_v4.1-1/哨兵弹舱_v2.1-1/哨兵拨弹轮v3.0-1/ggh-弹仓弹链连接件-101-1;双枪射手_v4.1-1/云台架-v4.0-1/hy2-pitch轴承外圈固定板-101-2;双枪射手_v4.1-1/云台架-v4.0-1/tx80-pitch轴承外圈固定板垫高-101-2;双枪射手_v4.1-1/哨兵弹舱_v2.1-1/哨兵拨弹轮v3.0 左-1/弹舱隔板_2mm 左-1,Yaw坐标,Yaw轴,Yaw_Joint,continuous,0,0,0.081,0,0,0,base_link,0,0,-1,,,,,,,,,,,,
