Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,2.3351E-07,0.00097091,0.015088,0,0,0,6.9215,0.27562,3.4079E-06,-1.9782E-08,0.27371,-0.00013381,0.54827,0,0,0,0,0,0,package://simplesentry/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://simplesentry/meshes/base_link.STL,,chassis-1,base坐标系,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Left_Front_Heading_Link,1.38777878078145E-17,0.00190966111212694,4.81482348435591E-09,0,0,0,0.222633441059111,0.000282472342479328,8.75872742714748E-20,-1.53578455491772E-11,0.000299326883261327,9.84844083127423E-11,0.000282445233574947,0,0,0,0,0,0,package://simplesentry/meshes/Left_Front_Heading_Link.STL,1,1,1,1,0,0,0,0,0,0,package://simplesentry/meshes/Left_Front_Heading_Link.STL,,heading_wheel-1,左前坐标系,左前航向轴,Left_Front_Heading_Joint,continuous,-0.19796,0.19799,-0.02,1.5708,0,3.1416,base_link,0,1,0,,,,,,,,,,,,
Left_Front_Driving_Link,0.013,0,0,0,0,0,0.238918121305504,0.000373309564539849,2.69533146699333E-20,-5.87276176762981E-21,0.000200113836436801,-1.19966360820855E-36,0.000200113836436801,0,0,0,0,0,0,package://simplesentry/meshes/Left_Front_Driving_Link.STL,1,1,1,1,0,0,0,0,0,0,package://simplesentry/meshes/Left_Front_Driving_Link.STL,,wheel-1,左前轮坐标系,左前驱动轴,Left_Front_Driving_Joint,continuous,-0.013,-0.08,0,0,0,0,Left_Front_Heading_Link,1,0,0,,,,,,,,,,,,
Left_Back_Heading_Link,0,0.00190966111212694,4.81482347047812E-09,0,0,0,0.222633441059111,0.000282472342479328,7.64054506560717E-20,-1.5357845554744E-11,0.000299326883261327,9.84844082347234E-11,0.000282445233574947,0,0,0,0,0,0,package://simplesentry/meshes/Left_Back_Heading_Link.STL,1,1,1,1,0,0,0,0,0,0,package://simplesentry/meshes/Left_Back_Heading_Link.STL,,heading_wheel-2,左后坐标系,左后航向轴,Left_Back_Heading_Joint,continuous,-0.19796,-0.19799,-0.02,1.5708,0,3.1416,base_link,0,1,0,,,,,,,,,,,,
Left_Back_Driving_Link,0.013,-1.38777878078145E-17,0,0,0,0,0.238918121305504,0.000373309564539849,2.69533146699333E-20,-5.87276176762981E-21,0.000200113836436801,-1.19966360820855E-36,0.000200113836436801,0,0,0,0,0,0,package://simplesentry/meshes/Left_Back_Driving_Link.STL,1,1,1,1,0,0,0,0,0,0,package://simplesentry/meshes/Left_Back_Driving_Link.STL,,wheel-2,左后轮坐标系,左后驱动轴,Left_Back_Driving_Joint,continuous,-0.013,-0.08,0,0,0,0,Left_Back_Heading_Link,1,0,0,,,,,,,,,,,,
Right_Front_Heading_Link,0,0.00190966111212694,4.81482348435591E-09,0,0,0,0.222633441059111,0.000282472342479328,4.48324487369313E-20,-1.5357845556234E-11,0.000299326883261327,9.84844083306066E-11,0.000282445233574948,0,0,0,0,0,0,package://simplesentry/meshes/Right_Front_Heading_Link.STL,1,1,1,1,0,0,0,0,0,0,package://simplesentry/meshes/Right_Front_Heading_Link.STL,,heading_wheel-3,右前坐标系,右前航向轴,Right_Front_Heading_Joint,continuous,0.19802,0.19799,-0.02,1.5708,0,3.1416,base_link,0,1,0,,,,,,,,,,,,
Right_Front_Driving_Link,0.0130000000000001,1.38777878078145E-17,0,0,0,0,0.238918121305504,0.00037330956453985,2.69533146699333E-20,-5.87276176762982E-21,0.000200113836436802,3.50231379508061E-36,0.000200113836436802,0,0,0,0,0,0,package://simplesentry/meshes/Right_Front_Driving_Link.STL,1,1,1,1,0,0,0,0,0,0,package://simplesentry/meshes/Right_Front_Driving_Link.STL,,wheel-3,右前轮坐标系,右前驱动轴,Right_Front_Driving_Joint,continuous,-0.013,-0.08,0,0,0,0,Right_Front_Heading_Link,1,0,0,,,,,,,,,,,,
Right_Back_Heading_Link,0,0.00190966111212693,4.81482345660034E-09,0,0,0,0.222633441059111,0.000282472342479328,2.46591602827902E-20,-1.53578455521235E-11,0.000299326883261327,9.84844082287288E-11,0.000282445233574948,0,0,0,0,0,0,package://simplesentry/meshes/Right_Back_Heading_Link.STL,1,1,1,1,0,0,0,0,0,0,package://simplesentry/meshes/Right_Back_Heading_Link.STL,,heading_wheel-4,右后坐标系,右后航向轴,Right_Back_Heading_Joint,continuous,0.19802,-0.19799,-0.02,1.5708,0,3.1416,base_link,0,1,0,,,,,,,,,,,,
Right_Back_Driving_Link,0.0130000000000001,1.38777878078145E-17,0,0,0,0,0.238918121305504,0.00037330956453985,2.69533146699333E-20,-5.87276176762982E-21,0.000200113836436802,3.50231379508061E-36,0.000200113836436802,0,0,0,0,0,0,package://simplesentry/meshes/Right_Back_Driving_Link.STL,1,1,1,1,0,0,0,0,0,0,package://simplesentry/meshes/Right_Back_Driving_Link.STL,,wheel-4,右后轮坐标系,右后驱动轴,Right_Back_Driving_Joint,continuous,-0.013,-0.08,0,0,0,0,Right_Back_Heading_Link,1,0,0,,,,,,,,,,,,
Yaw_Link,-0.000382893451164545,-0.00504114565025875,0.10698800887067,0,0,0,10.3493804906921,0.149218627722498,0.000307277659773353,0.000417481332867916,0.153240882832408,0.00549652703343564,0.0747791685099092,0,0,0,0,0,0,package://simplesentry/meshes/Yaw_Link.STL,1,1,1,1,0,0,0,0,0,0,package://simplesentry/meshes/Yaw_Link.STL,,gimal_yaw-1,yaw坐标系,yaw轴,Yaw_Joint,continuous,3.2896E-05,0,0.09,0,0,0,base_link,0,0,-1,,,,,,,,,,,,
